,重型,,,,,,,,輕型,,,,,,,,小型輕型,,,,,,,
,經濟部工業局,行政院環保署,新北市,台北市,桃園市,台中市,台南市,高雄市,經濟部工業局,行政院環保署,新北市,台北市,桃園市,台中市,台南市,高雄市,經濟部工業局,行政院環保署,新北市,台北市,桃園市,台中市,台南市,高雄市
2018-01,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-02,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-03,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-04,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-05,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-06,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-07,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-08,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-09,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-10,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-11,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2018-12,10000,6000,12000,6000,18000,13000,10000,15000,10000,6000,12000,16000,30000,13000,10000,15000,7200,4000,12000,4000,18000,13000,7000,14000
2019-01,10000,5000,12000,5000,18000,11000,10000,10000,10000,3000,12000,4000,18000,11000,10000,9000,7200,3000,12000,4000,18000,11000,7000,9000
2019-02,10000,5000,12000,5000,18000,11000,10000,10000,10000,3000,12000,4000,18000,11000,10000,9000,7200,3000,12000,4000,18000,11000,7000,9000
2019-03,10000,5000,12000,5000,18000,11000,10000,10000,10000,3000,12000,4000,18000,11000,10000,9000,7200,3000,12000,4000,18000,11000,7000,9000
2019-04,10000,5000,12000,5000,18000,11000,10000,10000,10000,3000,12000,4000,18000,11000,10000,9000,7200,3000,12000,4000,18000,11000,7000,9000
2019-05,10000,5000,12000,5000,18000,11000,10000,10000,10000,3000,12000,4000,18000,11000,10000,9000,7200,3000,12000,4000,18000,11000,7000,9000
2019-06,10000,5000,12000,5000,18000,11000,10000,10000,10000,3000,12000,4000,18000,11000,10000,9000,7200,3000,12000,4000,18000,11000,7000,9000
2019-07,10000,5000,12000,5000,13000,11000,10000,10000,10000,3000,12000,4000,13000,11000,10000,9000,7200,3000,12000,4000,13000,11000,7000,9000
2019-08,10000,5000,12000,5000,13000,11000,10000,10000,10000,3000,12000,4000,13000,11000,10000,9000,7200,3000,12000,4000,13000,11000,7000,9000
2019-09,10000,5000,12000,5000,13000,11000,10000,10000,10000,3000,12000,4000,13000,11000,10000,9000,7200,3000,12000,4000,13000,11000,7000,9000
2019-10,10000,5000,12000,5000,13000,11000,10000,10000,10000,3000,12000,4000,13000,11000,10000,9000,7200,3000,12000,4000,13000,11000,7000,9000
2019-11,10000,5000,12000,5000,13000,11000,10000,10000,10000,3000,12000,4000,13000,11000,10000,9000,7200,3000,12000,4000,13000,11000,7000,9000
2019-12,10000,5000,12000,5000,13000,11000,10000,10000,10000,3000,12000,4000,13000,11000,10000,9000,7200,3000,12000,4000,13000,11000,7000,9000
2020-01,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-02,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-03,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-04,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-05,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-06,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-07,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-08,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-09,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-10,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-11,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2020-12,7000,5000,6000,3000,9000,7000,9000,3000,5100,3000,4000,2000,5000,7000,5000,2000,5100,3000,4000,2000,5000,7000,4000,2000
2021-01,7000,3000,9000,17000,9000,7000,8000,7000,5100,1000,5000,13000,5000,7000,4000,4000,5100,1000,5000,13000,5000,7000,4000,4000
2021-02,7000,3000,9000,17000,9000,7000,8000,7000,5100,1000,5000,13000,5000,7000,4000,4000,5100,1000,5000,13000,5000,7000,4000,4000
2021-03,7000,3000,9000,17000,9000,7000,8000,7000,5100,1000,5000,13000,5000,7000,4000,4000,5100,1000,5000,13000,5000,7000,4000,4000
