county,district,date,open_stores7eleven,open_storesfamilymart,open_storeshilife,open_storesOK,open_storespxmart,open_storescarrefour,open_storesrtmart,open_storessimplemart,open_storescpc
新北市,三峽區,2018-01-01,36.0,22.0,6.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-02-01,36.0,22.0,6.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-03-01,36.0,22.0,6.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-04-01,37.0,22.0,6.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-05-01,37.0,22.0,6.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-06-01,37.0,22.0,6.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-07-01,37.0,22.0,7.0,5.0,4.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-08-01,37.0,22.0,7.0,5.0,5.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-09-01,37.0,22.0,7.0,5.0,5.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-10-01,37.0,22.0,7.0,5.0,5.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-11-01,37.0,22.0,7.0,5.0,5.0,0.0,0.0,6.0,8.0
新北市,三峽區,2018-12-01,37.0,22.0,7.0,5.0,5.0,0.0,0.0,6.0,8.0
新北市,三芝區,2018-01-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-02-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-03-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-04-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-05-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-06-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-07-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-08-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-09-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-10-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-11-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三芝區,2018-12-01,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0
新北市,三重區,2018-01-01,95.0,73.0,90.0,5.0,13.0,2.0,0.0,31.0,13.0
新北市,三重區,2018-02-01,95.0,73.0,90.0,5.0,13.0,2.0,0.0,31.0,13.0
新北市,三重區,2018-03-01,95.0,73.0,90.0,5.0,13.0,2.0,0.0,31.0,13.0
新北市,三重區,2018-04-01,95.0,73.0,91.0,5.0,13.0,2.0,0.0,31.0,13.0
新北市,三重區,2018-05-01,95.0,73.0,91.0,5.0,13.0,3.0,0.0,31.0,13.0
